MN P3 ExParcial 1Q 2024-25
Question 1

       Nod.           X              U     
    __________    __________    ___________
    1.0000e+00    0.0000e+00     0.0000e+00
    2.0000e+00    2.7273e+02    -2.4950e-03
    3.0000e+00    5.4545e+02    -4.9541e-03
    4.0000e+00    8.1818e+02    -7.3770e-03
    5.0000e+00    1.0909e+03    -9.7638e-03
    6.0000e+00    1.3636e+03    -1.2114e-02
    7.0000e+00    1.6364e+03    -1.4429e-02
    8.0000e+00    1.9091e+03    -1.6706e-02
    9.0000e+00    2.1818e+03    -1.8948e-02
    1.0000e+01    2.4545e+03    -2.1152e-02
    1.1000e+01    2.7273e+03    -2.3321e-02
    1.2000e+01    3.0000e+03    -2.5452e-02
    1.3000e+01    3.2727e+03    -2.7546e-02
    1.4000e+01    3.5455e+03    -2.9604e-02
    1.5000e+01    3.8182e+03    -3.1624e-02
    1.6000e+01    4.0909e+03    -3.3608e-02
    1.7000e+01    4.3636e+03    -3.5554e-02
    1.8000e+01    4.6364e+03    -3.7462e-02
    1.9000e+01    4.9091e+03    -3.9333e-02
    2.0000e+01    5.1818e+03    -4.1166e-02
    2.1000e+01    5.4545e+03    -4.2962e-02
    2.2000e+01    5.7273e+03    -4.4719e-02
    2.3000e+01    6.0000e+03    -4.6438e-02
    2.4000e+01    6.2727e+03    -4.8119e-02
    2.5000e+01    6.5455e+03    -4.9762e-02
    2.6000e+01    6.8182e+03    -5.1366e-02
    2.7000e+01    7.0909e+03    -5.2931e-02
    2.8000e+01    7.3636e+03    -5.4457e-02
    2.9000e+01    7.6364e+03    -5.5943e-02
    3.0000e+01    7.9091e+03    -5.7391e-02
    3.1000e+01    8.1818e+03    -5.8798e-02
    3.2000e+01    8.4545e+03    -6.0165e-02
    3.3000e+01    8.7273e+03    -6.1493e-02
    3.4000e+01    9.0000e+03    -6.2779e-02
    3.5000e+01    9.2727e+03    -6.4025e-02
    3.6000e+01    9.5455e+03    -6.5230e-02
    3.7000e+01    9.8182e+03    -6.6393e-02
    3.8000e+01    1.0091e+04    -6.7514e-02
    3.9000e+01    1.0364e+04    -6.8593e-02
    4.0000e+01    1.0636e+04    -6.9630e-02
    4.1000e+01    1.0909e+04    -7.0623e-02
    4.2000e+01    1.1182e+04    -7.1573e-02
    4.3000e+01    1.1455e+04    -7.2479e-02
    4.4000e+01    1.1727e+04    -7.3340e-02
    4.5000e+01    1.2000e+04    -7.4156e-02
    4.6000e+01    1.2273e+04    -7.4927e-02
    4.7000e+01    1.2545e+04    -7.5650e-02
    4.8000e+01    1.2818e+04    -7.6327e-02
    4.9000e+01    1.3091e+04    -7.6955e-02
    5.0000e+01    1.3364e+04    -7.7535e-02
    5.1000e+01    1.3636e+04    -7.8064e-02
    5.2000e+01    1.3909e+04    -7.8543e-02
    5.3000e+01    1.4182e+04    -7.8970e-02
    5.4000e+01    1.4455e+04    -7.9344e-02
    5.5000e+01    1.4727e+04    -7.9662e-02
    5.6000e+01    1.5000e+04    -7.9925e-02

Solutions
(a) <u> ≈ -4.9989e-02 mm. Hint. u(15000.00) ≈ U(56) = -7.9925e-02 mm
(b) Interpolated value of u at x = 7500.00 (mm): u(7500.00) ≈ -5.5200e-02 mm
(c) Required w =  1.429782e-09 kN/mm^3,
	   err := ||U(midpoint) - 0.5 U(top)|| = 3.47e-18 mm
